country,year,organism,antibiotic,pct_resistant,total_isolates,source_type,source
Sweden,2015,E. coli,TMP,19.5,0,animal_pig,EFSA
Switzerland,2015,E. coli,TMP,22.0,0,animal_pig,EFSA
United Kingdom,2015,E. coli,TMP,47.1,0,animal_pig,EFSA
Austria,2015,Salmonella spp.,AMP,13.5,1556,human,EFSA
Belgium,2015,Salmonella spp.,AMP,42.1,0,meat_pork,EFSA
Bulgaria,2015,Salmonella spp.,AMP,100.0,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,AMP,48.4,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,AMP,30.9,94,human,EFSA
Cyprus,2015,Salmonella spp.,AMP,75.0,0,meat_pork,EFSA
Czech Republic,2015,Salmonella spp.,AMP,26.1,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,AMP,33.1,275,human,EFSA
Denmark,2015,Salmonella spp.,AMP,35.9,0,meat_pork,EFSA
Estonia,2015,Salmonella spp.,AMP,22.2,72,human,EFSA
Estonia,2015,Salmonella spp.,AMP,20.0,0,meat_pork,EFSA
Finland,2015,Salmonella spp.,AMP,13.4,313,human,EFSA
France,2015,Salmonella spp.,AMP,32.6,1052,human,EFSA
France,2015,Salmonella spp.,AMP,40.9,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,AMP,28.7,1818,human,EFSA
Germany,2015,Salmonella spp.,AMP,56.9,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,AMP,6.3,509,human,EFSA
Hungary,2015,Salmonella spp.,AMP,37.4,813,human,EFSA
Hungary,2015,Salmonella spp.,AMP,87.5,0,meat_pork,EFSA
Iceland,2015,Salmonella spp.,AMP,18.8,16,human,EFSA
Iceland,2015,Salmonella spp.,AMP,28.6,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,AMP,33.7,199,human,EFSA
Ireland,2015,Salmonella spp.,AMP,56.1,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,AMP,54.9,71,human,EFSA
Italy,2015,Salmonella spp.,AMP,44.0,0,meat_pork,EFSA
Latvia,2015,Salmonella spp.,AMP,12.5,24,human,EFSA
Lithuania,2015,Salmonella spp.,AMP,28.9,938,human,EFSA
Luxembourg,2015,Salmonella spp.,AMP,35.8,106,human,EFSA
Malta,2015,Salmonella spp.,AMP,68.3,126,human,EFSA
Malta,2015,Salmonella spp.,AMP,18.8,0,meat_pork,EFSA
Netherlands,2015,Salmonella spp.,AMP,27.4,787,human,EFSA
Norway,2015,Salmonella spp.,AMP,15.7,350,human,EFSA
Poland,2015,Salmonella spp.,AMP,60.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,AMP,51.4,140,human,EFSA
Portugal,2015,Salmonella spp.,AMP,52.1,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,AMP,25.4,169,human,EFSA
Romania,2015,Salmonella spp.,AMP,47.8,0,meat_pork,EFSA
Slovakia,2015,Salmonella spp.,AMP,6.6,775,human,EFSA
Slovakia,2015,Salmonella spp.,AMP,27.3,0,meat_pork,EFSA
Slovenia,2015,Salmonella spp.,AMP,15.6,390,human,EFSA
Spain,2015,Salmonella spp.,AMP,45.1,1999,human,EFSA
Spain,2015,Salmonella spp.,AMP,54.7,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,AMP,21.3,615,human,EFSA
United Kingdom,2015,Salmonella spp.,AMP,33.3,0,meat_pork,EFSA
Belgium,2015,Salmonella spp.,AZITHROMYC,0.5,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,AZITHROMYC,25.0,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,AZITHROMYC,1.1,275,human,EFSA
Denmark,2015,Salmonella spp.,AZITHROMYC,1.3,0,meat_pork,EFSA
France,2015,Salmonella spp.,AZITHROMYC,0.7,1052,human,EFSA
Germany,2015,Salmonella spp.,AZITHROMYC,5.9,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,AZITHROMYC,1.5,199,human,EFSA
Netherlands,2015,Salmonella spp.,AZITHROMYC,0.3,787,human,EFSA
Norway,2015,Salmonella spp.,AZITHROMYC,0.8,120,human,EFSA
Portugal,2015,Salmonella spp.,AZITHROMYC,37.5,0,meat_pork,EFSA
Spain,2015,Salmonella spp.,AZITHROMYC,1.6,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,C3G,0.4,1556,human,EFSA
Belgium,2015,Salmonella spp.,C3G,1.1,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,C3G,2.7,37,human,EFSA
Czech Republic,2015,Salmonella spp.,C3G,4.3,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,C3G,1.5,275,human,EFSA
Finland,2015,Salmonella spp.,C3G,1.6,313,human,EFSA
France,2015,Salmonella spp.,C3G,1.8,560,human,EFSA
Germany,2015,Salmonella spp.,C3G,1.0,1818,human,EFSA
Germany,2015,Salmonella spp.,C3G,3.9,0,meat_pork,EFSA
Hungary,2015,Salmonella spp.,C3G,0.7,813,human,EFSA
Italy,2015,Salmonella spp.,C3G,5.6,71,human,EFSA
Italy,2015,Salmonella spp.,C3G,3.3,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,C3G,0.1,793,human,EFSA
Luxembourg,2015,Salmonella spp.,C3G,0.9,106,human,EFSA
Netherlands,2015,Salmonella spp.,C3G,1.1,787,human,EFSA
Norway,2015,Salmonella spp.,C3G,1.1,350,human,EFSA
Portugal,2015,Salmonella spp.,C3G,4.2,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,C3G,0.6,169,human,EFSA
Slovakia,2015,Salmonella spp.,C3G,3.2,249,human,EFSA
Slovenia,2015,Salmonella spp.,C3G,0.8,390,human,EFSA
Spain,2015,Salmonella spp.,C3G,0.8,1999,human,EFSA
Spain,2015,Salmonella spp.,C3G,0.8,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,C3G,2.4,581,human,EFSA
Austria,2015,Salmonella spp.,CEFTAZIDIM,0.4,1556,human,EFSA
Belgium,2015,Salmonella spp.,CEFTAZIDIM,1.1,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,CEFTAZIDIM,1.2,83,human,EFSA
Czech Republic,2015,Salmonella spp.,CEFTAZIDIM,4.3,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,CEFTAZIDIM,1.1,275,human,EFSA
France,2015,Salmonella spp.,CEFTAZIDIM,1.8,560,human,EFSA
Germany,2015,Salmonella spp.,CEFTAZIDIM,0.9,1818,human,EFSA
